feature_block,method,k,row_count,cluster_count,noise_fraction,minimum_cluster_fraction,inertia,eps,min_samples,fit_scope,silhouette_score,davies_bouldin_score,calinski_harabasz_score,min_cluster_size
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.2586,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00125,1.0,,5.2586,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0015,1.0,,5.2586,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.003,1.0,,5.2586,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.2671,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00125,1.0,,5.2671,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0015,1.0,,5.2671,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0025,1.0,,5.2671,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00025,1.0,,5.6066,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.6066,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.6066,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.001,1.0,,5.6066,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00025,1.0,,5.8061,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.8061,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0005,1.0,,5.8061,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.001,1.0,,5.8061,100,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.0,1.0,,6.4606,10,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00025,1.0,,6.4606,25,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00025,1.0,,6.4606,50,bounded_sample,,,,
reduced_context,dbscan,,4000,1,0.00025,1.0,,6.4606,100,bounded_sample,,,,
