experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
full_context,Full operating-context feature set,xgboost,10,0.9,1.0,4208,0.9847274916565237,0.9995247148288974
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,1,0.0,0.1,1205,0.0,0.05228215767634855
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,2,0.1,0.2,1286,0.14168334505946098,0.11275272161741835
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,3,0.2,0.30000000000000004,1108,0.28339874044463614,0.19133574007220217
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,4,0.30000000000000004,0.4,100,0.31968736816538645,0.32
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,5,0.4,0.5,1125,0.428608908425601,0.35644444444444445
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,6,0.5,0.6000000000000001,1126,0.5708089483584599,0.5488454706927176
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,7,0.6000000000000001,0.7000000000000001,104,0.6893458809449025,0.6346153846153846
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,8,0.7000000000000001,0.8,971,0.7166616420373977,0.7404737384140062
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,9,0.8,0.9,1293,0.8580298047273975,0.8917246713070379
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",knn,10,0.9,1.0,1682,1.0,0.9583828775267539
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,1,0.0,0.1,3565,0.006481548187519705,0.11921458625525946
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,2,0.1,0.2,191,0.14821670054576686,0.24083769633507854
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,3,0.2,0.30000000000000004,142,0.2458191174664476,0.2605633802816901
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,4,0.30000000000000004,0.4,124,0.3504174968626014,0.29838709677419356
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",naive_bayes,5,0.4,0.5,101,0.451713174276333,0.297029702970297
