edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_9527bba17658562922,context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,17960.0,,,,,,,,,,17960.0,0.3592,6911.0,0.3847995545657016,0.50716,0.7587340377113762,area_type,network_type,,,,,,,,,,,,,,area_type=Urban,network_type=5G SA
edge_a178885b445583ea76,context_cooccurrence:context_value:application_gaming:def3dd30caeb,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,531.0,,,,,,,,,,531.0,0.01062,204.0,0.384180790960452,0.50716,0.7575139817029181,application,radio_band,,,,,,,,,,,,,,application=Gaming,radio_band=n41
edge_06ad52db9e2da09e37,context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_cooccurs,context_cooccurrence,False,1736.0,,,,,,,,,,1736.0,0.03472,665.0,0.3830645161290322,0.50716,0.7553129508025715,congestion,radio_band,,,,,,,,,,,,,,congestion=Medium,radio_band=n77
edge_32503dfc9a99170a16,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_cooccurs,context_cooccurrence,False,5015.0,,,,,,,,,,5015.0,0.1003,1918.0,0.3824526420737786,0.50716,0.754106479363078,application,obstruction,,,,,,,,,,,,,,application=Call,obstruction=Medium
edge_6af87b20812d854a5f,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_cooccurs,context_cooccurrence,False,5374.0,,,,,,,,,,5374.0,0.10748,2055.0,0.3823967249720878,0.50716,0.7539962240162627,application,congestion,,,,,,,,,,,,,,application=Browse,congestion=Medium
edge_e011be45dbc6c39007,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_cooccurs,context_cooccurrence,False,12373.0,,,,,,,,,,12373.0,0.24746,4729.0,0.3822031843530267,0.50716,0.7536146075262771,application,area_type,,,,,,,,,,,,,,application=Call,area_type=Urban
edge_4592fdd1fe4efcbac1,context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,2090.0,,,,,,,,,,2090.0,0.0418,798.0,0.3818181818181818,0.50716,0.7528554732592906,area_type,radio_band,,,,,,,,,,,,,,area_type=Urban,radio_band=n41
edge_67fe89222f49544aaa,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_cooccurs,context_cooccurrence,False,7340.0,,,,,,,,,,7340.0,0.1468,2802.0,0.3817438692098092,0.50716,0.752708946308481,network_type,obstruction,,,,,,,,,,,,,,network_type=5G SA,obstruction=Medium
edge_a3bc8073d0036e096d,context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,1630.0,,,,,,,,,,1630.0,0.0326,620.0,0.3803680981595092,0.50716,0.7499962500187499,infrastructure,radio_band,,,,,,,,,,,,,,infrastructure=Nominal,radio_band=n41
edge_54a8fc257cb89061f9,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurs,context_cooccurrence,False,6380.0,,,,,,,,,,6380.0,0.1276,2411.0,0.3778996865203762,0.50716,0.7451291239852831,obstruction,tower_load,,,,,,,,,,,,,,obstruction=Low,tower_load=Moderate
edge_1d8f0dd41e2290f494,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:weather_rainy:2c23bce4260d,context_cooccurs,context_cooccurrence,False,390.0,,,,,,,,,,390.0,0.0078,147.0,0.3769230769230769,0.50716,0.7432034800123766,radio_band,weather,,,,,,,,,,,,,,radio_band=n41,weather=Rainy
edge_6611d8ba9c40145cb8,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurs,context_cooccurrence,False,3757.0,,,,,,,,,,3757.0,0.07514,1406.0,0.3742347617780143,0.50716,0.7379027560888365,application,tower_load,,,,,,,,,,,,,,application=Call,tower_load=Moderate
edge_b86ed0b7ecbf62e2ac,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_cooccurs,context_cooccurrence,False,310.0,,,,,,,,,,310.0,0.0062,116.0,0.3741935483870968,0.50716,0.737821492994512,obstruction,radio_band,,,,,,,,,,,,,,obstruction=Low,radio_band=n79
edge_5871a399b37a8e1ed1,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_cooccurs,context_cooccurrence,False,1750.0,,,,,,,,,,1750.0,0.035,654.0,0.3737142857142857,0.50716,0.7368764999492974,obstruction,radio_band,,,,,,,,,,,,,,obstruction=Low,radio_band=n77
edge_21ac8c0494a337c770,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_cooccurs,context_cooccurrence,False,15030.0,,,,,,,,,,15030.0,0.3006,5570.0,0.3705921490352628,0.50716,0.7307203821974579,obstruction,weather,,,,,,,,,,,,,,obstruction=Low,weather=Clear
edge_ed6c78983ec094676a,context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,3740.0,,,,,,,,,,3740.0,0.0748,1383.0,0.3697860962566845,0.50716,0.7291310360767499,infrastructure,network_type,,,,,,,,,,,,,,infrastructure=Moderately_Degraded,network_type=5G SA
edge_4cda03aa20da0925ef,context_cooccurrence:context_value:application_gaming:def3dd30caeb,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurs,context_cooccurrence,False,2327.0,,,,,,,,,,2327.0,0.04654,858.0,0.3687150837988827,0.50716,0.7270192519104083,application,congestion,,,,,,,,,,,,,,application=Gaming,congestion=Low
edge_5a498a0849bdca8ece,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:mobility_walking:f9c84a86faf4,context_cooccurs,context_cooccurrence,False,4355.0,,,,,,,,,,4355.0,0.0871,1600.0,0.3673938002296211,0.50716,0.7244139920924779,congestion,mobility,,,,,,,,,,,,,,congestion=Low,mobility=Walking
edge_d9779b5a2fe82c34bf,context_cooccurrence:context_value:congestion_high:9d9dddd17c8c,context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_cooccurs,context_cooccurrence,False,2848.0,,,,,,,,,,2848.0,0.05696,1043.0,0.3662219101123595,0.50716,0.7221033009550428,congestion,radio_band,,,,,,,,,,,,,,congestion=High,radio_band=n28
