node_id,graph_view,node_type,degree_total,weighted_degree
external_reference_evidence:reference_context:mobility_context_static:a19762848f5c,external_reference_evidence,reference_context,1,85166.0
context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurrence,context_value,35,80300.0
context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_cooccurrence,context_value,29,74200.0
external_reference_evidence:reference_context:application_context_netflix:db7c7e327fc4,external_reference_evidence,reference_context,1,72832.0
external_reference_evidence:reference_context:application_context_amazon_prime:fc9e4d120356,external_reference_evidence,reference_context,1,72671.0
external_reference_evidence:metric:jitter_ms:5629abf68229,external_reference_evidence,metric,6,53524.0
external_reference_evidence:metric:latency_ms:d96181fbcbbb,external_reference_evidence,metric,4,53221.0
context_cooccurrence:context_value:weather_foggy:086f7369c216,context_cooccurrence,context_value,36,50700.0
external_reference_evidence:metric:offered_downlink_mbps:4a86974694c8,external_reference_evidence,metric,4,50315.0
warehouse_measurement:area_type:urban:c3d998263984,warehouse_measurement,area_type,50000,50000.0
external_reference_evidence:reference_context:scenario_season3-strangerthings:f4ad498b7342,external_reference_evidence,reference_context,1,48947.0
external_reference_evidence:reference_context:scenario_season3-theexpanse:e418f05433b6,external_reference_evidence,reference_context,1,47352.0
external_reference_evidence:reference_context:application_context_download:0ac3bb5660de,external_reference_evidence,reference_context,1,43208.0
context_cooccurrence:context_value:radio_band_n260:c860a51b140e,context_cooccurrence,context_value,29,41000.0
context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_cooccurrence,context_value,29,40600.0
warehouse_measurement:infrastructure:nominal:c7103e6c0e5f,warehouse_measurement,infrastructure,37600,37600.0
external_reference_evidence:reference_context:network_mode_lte:687da26df707,external_reference_evidence,reference_context,1,35212.0
warehouse_measurement:weather:clear:fe5fe91e79b9,warehouse_measurement,weather,35160,35160.0
context_cooccurrence:context_value:radio_band_n258:4f5199340e56,context_cooccurrence,context_value,29,31600.0
context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurrence,context_value,36,26000.0
warehouse_measurement:mobility:static:c36ef63e34e8,warehouse_measurement,mobility,25236,25236.0
warehouse_measurement:tower_load:light:0d05a099f3b7,warehouse_measurement,tower_load,25097,25097.0
external_reference_evidence:reference_context:scenario_animated-rickandmorty:97aa7ffc7d1d,external_reference_evidence,reference_context,1,23885.0
warehouse_measurement:mobility:walking:1177b76e590d,warehouse_measurement,mobility,22774,22774.0
warehouse_measurement:congestion:medium:98398bc11d8b,warehouse_measurement,congestion,21674,21674.0
warehouse_measurement:obstruction:low:ea9abc1b3a4d,warehouse_measurement,obstruction,21350,21350.0
context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence,context_value,29,20900.0
warehouse_measurement:obstruction:medium:184458a32a4f,warehouse_measurement,obstruction,20620,20620.0
context_cooccurrence:context_value:mobility_driving:c335cecd5415,context_cooccurrence,context_value,34,19900.0
warehouse_measurement:network_type:5g_nsa:1c8a91df2a7e,warehouse_measurement,network_type,19650,19650.0
warehouse_measurement:congestion:high:eebd913695d5,warehouse_measurement,congestion,19204,19204.0
warehouse_measurement:network_type:5g_sa:97c69c172294,warehouse_measurement,network_type,17960,17960.0
external_reference_evidence:reference_context:technology_3g:47cda6f5b5a8,external_reference_evidence,reference_context,1,16372.0
external_reference_evidence:reference_context:network_mode_hspa+:1a311b71eb59,external_reference_evidence,reference_context,1,15880.0
warehouse_measurement:radio_band:n78:ee6c7fefdcab,warehouse_measurement,radio_band,15460,15460.0
warehouse_measurement:tower_load:moderate:fab0bb873e09,warehouse_measurement,tower_load,14903,14903.0
external_reference_evidence:reference_context:scenario_animated-adventuretime:bddb8978eb50,external_reference_evidence,reference_context,1,13385.0
warehouse_measurement:time_bin:morning:a7d256ba56ed,warehouse_measurement,time_bin,12754,12754.0
warehouse_measurement:application:streaming:da842c42d620,warehouse_measurement,application,12626,12626.0
warehouse_measurement:time_bin:night:adb97e8d5c5b,warehouse_measurement,time_bin,12616,12616.0
warehouse_measurement:application:gaming:1713654f8e61,warehouse_measurement,application,12569,12569.0
warehouse_measurement:time_bin:afternoon:c63cfe316a11,warehouse_measurement,time_bin,12478,12478.0
warehouse_measurement:application:browse:8a591a636acd,warehouse_measurement,application,12432,12432.0
warehouse_measurement:network_type:4g:d80d68f8b179,warehouse_measurement,network_type,12390,12390.0
warehouse_measurement:radio_band:lte_anchor:09a35e0e753a,warehouse_measurement,radio_band,12390,12390.0
warehouse_measurement:application:call:10a6099538ce,warehouse_measurement,application,12373,12373.0
warehouse_measurement:time_bin:evening:88f72072a8ee,warehouse_measurement,time_bin,12152,12152.0
external_reference_evidence:reference_context:scenario_animated-ninjago:22c05efc56ad,external_reference_evidence,reference_context,1,11934.0
warehouse_measurement:tower_load:heavy:76261d9d57d8,warehouse_measurement,tower_load,10000,10000.0
warehouse_measurement:infrastructure:moderately_degraded:1741834fe586,warehouse_measurement,infrastructure,9800,9800.0
warehouse_measurement:weather:rainy:6774539fd222,warehouse_measurement,weather,9770,9770.0
warehouse_measurement:congestion:low:9f5f34161a9a,warehouse_measurement,congestion,9122,9122.0
warehouse_measurement:obstruction:high:13c8042ce1f1,warehouse_measurement,obstruction,8030,8030.0
warehouse_measurement:radio_band:n28:0fa4df2ec7ad,warehouse_measurement,radio_band,7420,7420.0
context_cooccurrence:context_value:radio_band_n257:b9d330068dfa,context_cooccurrence,context_value,29,6700.0
