source_dataset,metric,column_name,value
ucc_5g_context,missing_fraction,rssi_dbm,0.28388912146085815
ucc_5g_context,mean,rssi_dbm,-78.93455578741731
ucc_5g_context,std,rssi_dbm,14.359413174093726
ucc_5g_context,min,rssi_dbm,-113.0
ucc_5g_context,q25,rssi_dbm,-88.0
ucc_5g_context,median,rssi_dbm,-78.0
ucc_5g_context,q75,rssi_dbm,-69.0
ucc_5g_context,max,rssi_dbm,-31.0
ucc_5g_context,non_missing_count,sinr_db,171615.0
ucc_5g_context,missing_fraction,sinr_db,0.09059355310501242
ucc_5g_context,mean,sinr_db,3.260408472452874
ucc_5g_context,std,sinr_db,7.183094951705356
ucc_5g_context,min,sinr_db,-30.0
ucc_5g_context,q25,sinr_db,-1.0
ucc_5g_context,median,sinr_db,2.0
ucc_5g_context,q75,sinr_db,7.0
ucc_5g_context,max,sinr_db,35.0
ucc_5g_context,non_missing_count,cqi,171614.0
ucc_5g_context,missing_fraction,cqi,0.09059885221317253
ucc_5g_context,mean,cqi,11.03499131772466
ucc_5g_context,std,cqi,2.9363793918931536
ucc_5g_context,min,cqi,0.0
ucc_5g_context,q25,cqi,9.0
ucc_5g_context,median,cqi,11.0
ucc_5g_context,q75,cqi,14.0
ucc_5g_context,max,cqi,15.0
ucc_5g_context,non_missing_count,download_throughput_mbps,188711.0
ucc_5g_context,missing_fraction,download_throughput_mbps,0.0
ucc_5g_context,mean,download_throughput_mbps,10.758245603065005
ucc_5g_context,std,download_throughput_mbps,36.74678719874355
ucc_5g_context,min,download_throughput_mbps,0.0
ucc_5g_context,q25,download_throughput_mbps,0.0
ucc_5g_context,median,download_throughput_mbps,0.002
ucc_5g_context,q75,download_throughput_mbps,4.48
ucc_5g_context,max,download_throughput_mbps,532.905
ucc_5g_context,non_missing_count,upload_throughput_mbps,188711.0
ucc_5g_context,missing_fraction,upload_throughput_mbps,0.0
ucc_5g_context,mean,upload_throughput_mbps,0.05077182040262624
ucc_5g_context,std,upload_throughput_mbps,0.12728208567519325
ucc_5g_context,min,upload_throughput_mbps,0.0
ucc_5g_context,q25,upload_throughput_mbps,0.0
ucc_5g_context,median,upload_throughput_mbps,0.004
ucc_5g_context,q75,upload_throughput_mbps,0.055
ucc_5g_context,max,upload_throughput_mbps,6.862
ucc_5g_context,non_missing_count,download_bitrate_raw,188711.0
ucc_5g_context,missing_fraction,download_bitrate_raw,0.0
ucc_5g_context,mean,download_bitrate_raw,10758.245603065005
ucc_5g_context,std,download_bitrate_raw,36746.78719874354
ucc_5g_context,min,download_bitrate_raw,0.0
ucc_5g_context,q25,download_bitrate_raw,0.0
ucc_5g_context,median,download_bitrate_raw,2.0
ucc_5g_context,q75,download_bitrate_raw,4480.0
ucc_5g_context,max,download_bitrate_raw,532905.0
ucc_5g_context,non_missing_count,upload_bitrate_raw,188711.0
ucc_5g_context,missing_fraction,upload_bitrate_raw,0.0
ucc_5g_context,mean,upload_bitrate_raw,50.77182040262624
ucc_5g_context,std,upload_bitrate_raw,127.28208567519324
ucc_5g_context,min,upload_bitrate_raw,0.0
ucc_5g_context,q25,upload_bitrate_raw,0.0
ucc_5g_context,median,upload_bitrate_raw,4.0
ucc_5g_context,q75,upload_bitrate_raw,55.0
ucc_5g_context,max,upload_bitrate_raw,6862.0
ucc_5g_context,non_missing_count,latency_ms,3208.0
ucc_5g_context,missing_fraction,latency_ms,0.9830004610224099
ucc_5g_context,mean,latency_ms,86.97443890274315
ucc_5g_context,std,latency_ms,49.01947807814719
ucc_5g_context,min,latency_ms,64.0
ucc_5g_context,q25,latency_ms,69.0
ucc_5g_context,median,latency_ms,75.0
ucc_5g_context,q75,latency_ms,84.0
ucc_5g_context,max,latency_ms,889.0
ucc_5g_context,non_missing_count,jitter_ms,3208.0
ucc_5g_context,missing_fraction,jitter_ms,0.9830004610224099
ucc_5g_context,mean,jitter_ms,8.734413965087281
ucc_5g_context,std,jitter_ms,25.682160073167086
ucc_5g_context,min,jitter_ms,0.0
ucc_5g_context,q25,jitter_ms,1.0
ucc_5g_context,median,jitter_ms,3.0
ucc_5g_context,q75,jitter_ms,5.0
ucc_5g_context,max,jitter_ms,255.0
ucc_5g_context,non_missing_count,packet_loss_fraction,3272.0
ucc_5g_context,missing_fraction,packet_loss_fraction,0.9826613181001638
ucc_5g_context,mean,packet_loss_fraction,0.030501222493887533
ucc_5g_context,std,packet_loss_fraction,0.1515395143014328
ucc_5g_context,min,packet_loss_fraction,0.0
ucc_5g_context,q25,packet_loss_fraction,0.0
ucc_5g_context,median,packet_loss_fraction,0.0
ucc_5g_context,q75,packet_loss_fraction,0.0
ucc_5g_context,max,packet_loss_fraction,1.0
ucc_5g_context,non_missing_count,offered_downlink_mbps,0.0
ucc_5g_context,missing_fraction,offered_downlink_mbps,1.0
ucc_5g_context,non_missing_count,offered_upload_mbps,0.0
ucc_5g_context,missing_fraction,offered_upload_mbps,1.0
ucc_5g_context,non_missing_count,speed_raw,188711.0
ucc_5g_context,missing_fraction,speed_raw,0.0
ucc_5g_context,mean,speed_raw,17.6380974082062
ucc_5g_context,std,speed_raw,20.53048321765486
ucc_5g_context,min,speed_raw,0.0
ucc_5g_context,q25,speed_raw,0.0
ucc_5g_context,median,speed_raw,8.0
ucc_5g_context,q75,speed_raw,34.0
ucc_5g_context,max,speed_raw,105.0
ns3_lena,row_count,,12.0
ns3_lena,non_missing_count,frequency_ghz,0.0
ns3_lena,missing_fraction,frequency_ghz,1.0
ns3_lena,non_missing_count,rsrp_dbm,0.0
ns3_lena,missing_fraction,rsrp_dbm,1.0
ns3_lena,non_missing_count,rsrq_db,0.0
ns3_lena,missing_fraction,rsrq_db,1.0
ns3_lena,non_missing_count,rssi_dbm,0.0
ns3_lena,missing_fraction,rssi_dbm,1.0
ns3_lena,non_missing_count,sinr_db,0.0
ns3_lena,missing_fraction,sinr_db,1.0
ns3_lena,non_missing_count,cqi,0.0
ns3_lena,missing_fraction,cqi,1.0
ns3_lena,non_missing_count,download_throughput_mbps,12.0
ns3_lena,missing_fraction,download_throughput_mbps,0.0
ns3_lena,mean,download_throughput_mbps,12.248124416666665
ns3_lena,std,download_throughput_mbps,0.06417563024474814
ns3_lena,min,download_throughput_mbps,12.1512
ns3_lena,q25,download_throughput_mbps,12.218160000000001
ns3_lena,median,download_throughput_mbps,12.26708
ns3_lena,q75,download_throughput_mbps,12.29368
ns3_lena,max,download_throughput_mbps,12.3138665
ns3_lena,non_missing_count,upload_throughput_mbps,0.0
ns3_lena,missing_fraction,upload_throughput_mbps,1.0
ns3_lena,non_missing_count,download_bitrate_raw,0.0
ns3_lena,missing_fraction,download_bitrate_raw,1.0
ns3_lena,non_missing_count,upload_bitrate_raw,0.0
ns3_lena,missing_fraction,upload_bitrate_raw,1.0
ns3_lena,non_missing_count,latency_ms,12.0
ns3_lena,missing_fraction,latency_ms,0.0
ns3_lena,mean,latency_ms,110.46480066666668
ns3_lena,std,latency_ms,44.745942280020984
ns3_lena,min,latency_ms,67.046193
ns3_lena,q25,latency_ms,67.893319375
ns3_lena,median,latency_ms,110.7043775
ns3_lena,q75,latency_ms,153.280804875
ns3_lena,max,latency_ms,153.41507
ns3_lena,non_missing_count,jitter_ms,12.0
ns3_lena,missing_fraction,jitter_ms,0.0
ns3_lena,mean,jitter_ms,0.8553108333333332
ns3_lena,std,jitter_ms,0.5378356290793657
ns3_lena,min,jitter_ms,0.3348615
ns3_lena,q25,jitter_ms,0.342981875
ns3_lena,median,jitter_ms,0.8532430000000001
ns3_lena,q75,jitter_ms,1.365367
ns3_lena,max,jitter_ms,1.380131
ns3_lena,non_missing_count,packet_loss_fraction,12.0
ns3_lena,missing_fraction,packet_loss_fraction,0.0
ns3_lena,mean,packet_loss_fraction,0.3509027777777778
ns3_lena,std,packet_loss_fraction,0.14761165023300765
ns3_lena,min,packet_loss_fraction,0.2075
ns3_lena,q25,packet_loss_fraction,0.21062499999999995
ns3_lena,median,packet_loss_fraction,0.3516666666666666
ns3_lena,q75,packet_loss_fraction,0.4925
ns3_lena,max,packet_loss_fraction,0.4925
ns3_lena,non_missing_count,offered_downlink_mbps,12.0
ns3_lena,missing_fraction,offered_downlink_mbps,0.0
ns3_lena,mean,offered_downlink_mbps,41.455999999999996
ns3_lena,std,offered_downlink_mbps,7.302905822653437
ns3_lena,min,offered_downlink_mbps,34.464
ns3_lena,q25,offered_downlink_mbps,34.464
ns3_lena,median,offered_downlink_mbps,41.456
ns3_lena,q75,offered_downlink_mbps,48.448
ns3_lena,max,offered_downlink_mbps,48.448
ns3_lena,non_missing_count,offered_upload_mbps,0.0
ns3_lena,missing_fraction,offered_upload_mbps,1.0
ns3_lena,non_missing_count,speed_raw,0.0
ns3_lena,missing_fraction,speed_raw,1.0
